243111-001,2904,Centre intégré universitaire de santé et de services sociaux du Saguenay - Lac-Saint-Jean (Hôpital de Chicoutimi),Équipements et matériels Bio-banque,G21 - Fourniture et équipement médicaux et produits pharmaceutiques,,2009-03-26 00:00,Fisher Scientific,Ottawa,ON,CAN,1147627393,65395.05,0,0,0,0,0,65395.05
243111-002,2904,Centre intégré universitaire de santé et de services sociaux du Saguenay - Lac-Saint-Jean (Hôpital de Chicoutimi),Équipements et matériels Bio-banque,G21 - Fourniture et équipement médicaux et produits pharmaceutiques,,2009-03-26 00:00,Ultident Scientific,Montréal,QC,CAN,1143453513,1825.0,0,0,0,0,0,1825.0
243111-003,2904,Centre intégré universitaire de santé et de services sociaux du Saguenay - Lac-Saint-Jean (Hôpital de Chicoutimi),Équipements et matériels Bio-banque,G21 - Fourniture et équipement médicaux et produits pharmaceutiques,,2009-03-26 00:00,VWR International,Montréal,QC,CAN,1149170814,13341.24,0,0,0,0,0,13341.24
246889-001,2008-128-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Jus de fruits en conserve,G15 - Alimentation,50202304,2008-12-20 00:00,A. LASSONDE INC/LASSONDE BEVERAGE CANADA,Rougemont ,QC,CAN,,428014.0,0,0,0,0,0,428014.0
246889-002,2008-128-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Jus de fruits en conserve,G15 - Alimentation,50202304,2008-12-20 00:00,Les Aliments G. Gratton,Boisbriand,QC,CAN,,2128.0,0,0,0,0,0,2128.0
246889-003,2008-128-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Jus de fruits en conserve,G15 - Alimentation,50202304,2008-12-20 00:00,CLARK DROUIN LEFEBVRE INC. ,Boucherville ,QC,CAN,,49608.0,0,0,0,0,0,49608.0
246915-001,2008-147-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Soupes en conserve,G15 - Alimentation,50191507,2008-12-20 00:00,La Compagnie Campbell du Canada,Montréal,QC,CAN,,202879.0,0,0,0,0,0,202879.0
246915-002,2008-147-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Soupes en conserve,G15 - Alimentation,50191507,2008-12-20 00:00,UNILEVER SOLUTIONS ALIMENTAIRES ,Montréal ,QC,CAN,,14910.0,0,0,0,0,0,14910.0
246915-003,2008-147-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Soupes en conserve,G15 - Alimentation,50191507,2008-12-20 00:00,COMPAGNIE H.J. HEINZ DU CANADA ,Anjou,QC,CAN,,2856.0,0,0,0,0,0,2856.0
246918-001,2008-153-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Bases pour boisson diverses,G15 - Alimentation,50200000,2008-12-20 00:00,NESTLÉ FOOD SERVICES,Dorval ,QC,CAN,,11774.0,0,0,0,0,0,11774.0
246918-002,2008-153-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Bases pour boisson diverses,G15 - Alimentation,50200000,2008-12-20 00:00,PARMALAT CANADA ,Montréal ,QC,CAN,,715.0,0,0,0,0,0,715.0
246918-003,2008-153-01-01,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Bases pour boisson diverses,G15 - Alimentation,50200000,2008-12-20 00:00,FREEMAN-ALIMENTEL INC,Boucherville,QC,CAN,,12704.0,0,0,0,0,0,12704.0
